"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-119.38","49.96","KELOWNA","1123939","2017-01-01","2017","01","01","","-2.2","","-5.4","","-3.8","","21.8","","0.0","","","M","","M","0.0","","","","35","","59",""
"-119.38","49.96","KELOWNA","1123939","2017-01-02","2017","01","02","","","","","","","","","","","","","","","","","","","","","","",""
"-119.38","49.96","KELOWNA","1123939","2017-01-03","2017","01","03","","-10.8","","-24.3","","-17.6","","35.6","","0.0","","","M","","M","0.0","","","","","","<31",""
"-119.38","49.96","KELOWNA","1123939","2017-01-04","2017","01","04","","-11.4","","-24.1","","-17.8","","35.8","","0.0","","","M","","M","0.0","","","","","","<31",""
"-119.38","49.96","KELOWNA","1123939","2017-01-05","2017","01","05","","-9.1","","-22.3","","-15.7","","33.7","","0.0","","","M","","M","0.0","","","","","","<31",""
"-119.38","49.96","KELOWNA","1123939","2017-01-06","2017","01","06","","-7.7","","-13.6","","-10.7","","28.7","","0.0","","","M","","M","0.0","","","","","","<31",""
"-119.38","49.96","KELOWNA","1123939","2017-01-07","2017","01","07","","-7.9","","-17.7","","-12.8","","30.8","","0.0","","","M","","M","0.0","","","","","","<31",""
"-119.38","49.96","KELOWNA","1123939","2017-01-08","2017","01","08","","-6.1","","-13.7","","-9.9","","27.9","","0.0","","","M","","M","0.0","","","","","","<31",""
"-119.38","49.96","KELOWNA","1123939","2017-01-09","2017","01","09","","0.0","","-7.4","","-3.7","","21.7","","0.0","","","M","","M","1.5","","","","33","","54",""
"-119.38","49.96","KELOWNA","1123939","2017-01-10","2017","01","10","","-7.4","","-18.2","","-12.8","","30.8","","0.0","","","M","","M","0.0","","","","34","","43",""
