Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-119.38,49.96,KELOWNA,1123939,2017-07-01,2017,7,1,,32.8,,14.6,,23.7,,0.0,,5.7,,,M,,M,0.0,,,,18.0,,39,
-119.38,49.96,KELOWNA,1123939,2017-07-02,2017,7,2,,33.9,,11.6,,22.8,,0.0,,4.8,,,M,,M,0.0,,,,24.0,,35,
-119.38,49.96,KELOWNA,1123939,2017-07-03,2017,7,3,,29.0,,15.3,,22.2,,0.0,,4.2,,,M,,M,0.0,,,,,,25,
-119.38,49.96,KELOWNA,1123939,2017-07-04,2017,7,4,,31.2,,7.5,,19.4,,0.0,,1.4,,,M,,M,0.0,,,,,,25,
-119.38,49.96,KELOWNA,1123939,2017-07-05,2017,7,5,,,,,,,,,,,,,,,,,,,,,,25,
-119.38,49.96,KELOWNA,1123939,2017-07-06,2017,7,6,,,,,,,,,,,,,,,,,,,,,,25,
-119.38,49.96,KELOWNA,1123939,2017-07-07,2017,7,7,,,,,,,,,,,,,,,,,,,,,,25,
-119.38,49.96,KELOWNA,1123939,2017-07-08,2017,7,8,,34.0,,10.2,,22.1,,0.0,,4.1,,,M,,M,0.0,,,,,,25,
-119.38,49.96,KELOWNA,1123939,2017-07-09,2017,7,9,,32.6,,13.1,,22.9,,0.0,,4.9,,,M,,M,0.0,,,,28.0,,35,
-119.38,49.96,KELOWNA,1123939,2017-07-10,2017,7,10,,29.3,,17.3,,23.3,,0.0,,5.3,,,M,,M,0.0,,,,31.0,,33,
-119.38,49.96,KELOWNA,1123939,2017-07-11,2017,7,11,,28.9,,14.8,,21.9,,0.0,,3.9,,,M,,M,0.0,,,,,,25,
-119.38,49.96,KELOWNA,1123939,2017-07-12,2017,7,12,,32.2,,12.9,,22.6,,0.0,,4.6,,,M,,M,0.0,,,,18.0,,32,
-119.38,49.96,KELOWNA,1123939,2017-07-13,2017,7,13,,31.0,,11.4,,21.2,,0.0,,3.2,,,M,,M,0.0,,,,,,25,
-119.38,49.96,KELOWNA,1123939,2017-07-14,2017,7,14,,33.9,,9.8,,21.9,,0.0,,3.9,,,M,,M,0.0,,,,,,25,
-119.38,49.96,KELOWNA,1123939,2017-07-15,2017,7,15,,35.1,,10.6,,22.9,,0.0,,4.9,,,M,,M,0.0,,,,33.0,,46,
-119.38,49.96,KELOWNA,1123939,2017-07-16,2017,7,16,,25.2,,13.4,,19.3,,0.0,,1.3,,,M,,M,0.0,,,,21.0,,43,
-119.38,49.96,KELOWNA,1123939,2017-07-17,2017,7,17,,25.5,,7.7,,16.6,,1.4,,0.0,,,M,,M,0.0,,,,34.0,,32,
-119.38,49.96,KELOWNA,1123939,2017-07-18,2017,7,18,,29.4,,7.1,,18.3,,0.0,,0.3,,,M,,M,0.0,,,,,,25,
-119.38,49.96,KELOWNA,1123939,2017-07-19,2017,7,19,,32.8,,10.1,,21.5,,0.0,,3.5,,,M,,M,0.0,,,,34.0,,35,
-119.38,49.96,KELOWNA,1123939,2017-07-20,2017,7,20,,27.4,,11.9,,19.7,,0.0,,1.7,,,M,,M,0.0,,,,23.0,,44,
